Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	переможців які вгадали 3 кульки	приз за 3 кульки	переможців які вгадали 4 кульки	приз за 4 кульки	переможців які вгадали 5 кульок	приз за 5 кульок	переможців які вгадали 6 кульок	приз за 6 кульок
875	2009-08-26	А	4	2	18	7	4	25	34	4196	12	217	151	1	23036	0	4000000
874	2009-08-22	А	2	16	9	7	22	28	45	5055	12	252	133	7	3359	0	3800000
873	2009-08-19	А	1	32	37	41	29	21	31	3602	12	139	252	2	12270	0	3600000
872	2009-08-15	А	4	25	43	30	18	7	52	3957	12	263	132	5	4877	0	3400000
871	2009-08-12	А	3	48	1	14	50	12	29	3100	12	150	222	2	11686	0	3200000
870	2009-08-08	А	4	19	15	36	25	33	20	4217	12	174	203	7	3532	0	3000000
869	2009-08-05	Б	2	51	38	37	7	2	52	4753	12	222	181	3	9401	1	9250000
868	2009-08-01	Б	2	46	4	10	29	41	15	4344	12	215	197	4	7435	0	9000000
867	2009-07-29	А	4	19	15	37	25	23	50	8474	12	403	161	3	333333	0	10000000
866	2009-07-25	А	3	18	25	17	21	16	7	5803	12	303	126	3	8934	0	9750000
865	2009-07-22	А	4	31	34	12	20	3	26	4739	12	253	152	4	6770	0	9500000
864	2009-07-18	Б	4	36	43	28	44	10	17	3853	12	170	230	3	9130	0	9250000
863	2009-07-15	Б	4	43	14	45	18	42	32	4202	12	219	182	6	4661	0	9000000
862	2009-07-11	Б	1	47	36	32	26	19	52	4118	12	192	204	4	6886	0	8750000
861	2009-07-08	А	1	33	29	28	22	41	3	4432	12	220	173	2	13372	0	8500000
860	2009-07-04	А	3	12	24	25	30	20	35	3566	12	167	227	1	26616	0	8250000
859	2009-07-01	А	2	12	2	32	15	46	31	3908	12	227	156	2	12426	0	8000000
858	2009-06-27	Б	3	8	34	49	25	18	28	4028	12	219	165	1	25400	0	7750000
857	2009-06-24	Б	3	52	29	51	1	6	26	4104	12	194	184	2	12499	0	7500000
856	2009-06-20	А	1	18	28	46	49	13	33	3912	12	170	221	3	8776	0	7250000
855	2009-06-17	Б	2	28	18	21	44	11	20	4311	12	228	166	2	13300	0	7000000
854	2009-06-13	Б	1	5	26	14	49	21	1	6357	12	326	173	5	200000	0	8000000
853	2009-06-10	Б	3	28	20	37	18	1	13	4400	12	229	150	1	24107	0	7850000
852	2009-06-06	Б	2	17	19	38	12	21	5	5352	12	275	132	2	12793	0	7750000
851	2009-06-03	А	3	13	48	32	38	34	45	3760	12	183	194	2	12463	0	7500000
850	2009-05-30	А	3	46	21	16	45	52	9	4177	12	187	191	3	8370	0	7250000
849	2009-05-27	А	3	29	15	25	49	31	35	4175	12	193	187	2	12652	0	7000000
848	2009-05-23	Б	1	4	26	24	7	51	42	3852	12	165	213	3	8206	0	6750000
847	2009-05-20	Б	4	19	28	4	50	21	37	4263	12	245	140	9	2681	0	6500000
846	2009-05-16	Б	3	12	26	52	47	28	10	3839	12	213	167	3	8342	0	6300000
845	2009-05-13	Б	2	15	18	36	37	49	1	2857	12	151	233	2	12327	0	6150000
844	2009-05-09	Б	2	13	20	30	36	37	2	3181	12	140	235	6	3839	0	6000000
843	2009-05-06	А	3	20	11	1	22	33	29	4322	12	254	128	4	5707	0	5800000
842	2009-05-02	Б	1	23	22	29	45	37	44	2589	12	123	220	4	4748	0	5650000
841	2009-04-29	Б	3	30	38	1	52	2	5	4063	12	183	180	3	7719	0	5500000
840	2009-04-25	Б	4	27	48	20	10	30	45	3877	12	182	200	6	4261	0	5350000
839	2009-04-22	А	2	3	24	50	19	40	52	3287	12	143	236	0	0	0	5150000
838	2009-04-18	А	2	3	34	24	26	37	47	4088	12	206	193	3	9324	0	5000000
837	2009-04-15	Б	1	3	51	27	36	32	52	3820	12	174	207	1	25246	0	4850000
836	2009-04-11	Б	1	29	37	30	49	46	47	2868	12	118	323	1	26723	0	4700000
835	2009-04-08	Б	1	4	30	51	6	24	47	3407	12	156	231	5	5052	0	4550000
834	2009-04-04	А	1	8	41	17	42	40	51	3911	12	204	178	2	12714	0	4400000
833	2009-04-01	Б	1	42	9	29	52	32	50	3737	12	231	157	5	5097	0	4200000
832	2009-03-28	А	2	44	29	34	22	32	8	4629	12	248	152	7	3774	0	4000000
831	2009-03-25	Б	2	38	27	21	36	44	19	4299	12	202	179	8	3177	0	3800000
830	2009-03-21	А	1	19	17	33	34	32	51	4653	12	244	156	1	26683	0	3600000
829	2009-03-18	Б	1	51	46	5	21	35	42	3814	12	196	191	2	13139	0	3400000
828	2009-03-14	Б	4	14	10	37	26	35	11	4318	12	197	195	8	3376	0	3200000
827	2009-03-11	Б	4	14	42	50	40	8	44	3513	12	159	217	3	8076	0	3000000
826	2009-03-07	Б	3	20	23	34	27	31	17	7694	12	376	166	16	2732	1	8000000
825	2009-03-04	А	4	36	15	1	5	50	23	4887	12	280	141	4	6917	0	7800000
824	2009-02-28	А	1	18	12	38	24	45	26	4300	12	224	186	5	5861	0	7600000
823	2009-02-25	А	3	36	28	19	41	38	14	5003	12	274	141	2	13549	0	7400000
822	2009-02-21	Б	3	36	26	3	9	37	34	5642	12	372	110	3	9596	0	7200000
821	2009-02-18	Б	1	38	11	46	6	35	49	3479	12	150	284	2	14910	0	7000000
820	2009-02-14	Б	4	7	42	22	11	23	34	8060	12	438	148	9	111111	0	8000000
819	2009-02-11	А	1	27	17	29	16	24	46	4866	12	208	218	1	31849	0	7900000
818	2009-02-07	Б	1	30	17	32	27	20	52	4499	12	198	216	3	10016	0	7800000
817	2009-02-04	Б	3	30	16	44	46	13	42	3626	12	183	232	4	7449	0	7700000
816	2009-01-31	А	3	39	42	29	40	15	32	5315	10	242	147	3	8325	0	7600000
815	2009-01-28	А	1	1	34	52	33	32	49	5960	10	259	132	3	7978	0	7500000
814	2009-01-24	А	2	30	31	6	34	38	21	6227	10	299	116	1	24329	0	7400000
813	2009-01-21	Б	4	13	8	17	45	14	28	7210	10	366	88	5	4510	0	7275000
812	2009-01-17	А	4	52	15	25	7	47	38	7199	10	456	70	6	3764	0	7150000
811	2009-01-14	Б	3	37	2	47	28	18	50	5126	10	280	127	6	4162	0	7000000
810	2009-01-10	Б	4	17	19	29	2	47	42	5472	10	260	127	3	7759	0	6800000
809	2009-01-07	Б	4	5	41	29	15	48	1	4429	10	231	124	3	6726	0	6700000
808	2009-01-03	А	4	18	7	46	22	43	50	3973	10	206	122	3	5864	0	6600000
807	2008-12-31	Б	1	17	1	46	35	27	2	7636	10	352	124	3	10186	0	6525000
806	2008-12-27	Б	2	13	14	36	15	41	50	5979	10	303	120	6	4266	0	6450000
805	2008-12-24	Б	4	44	6	52	12	51	16	5334	10	211	161	4	5964	0	6300000
804	2008-12-20	Б	3	43	30	26	23	47	5	5334	10	264	132	6	4077	0	6150000
803	2008-12-17	Б	1	38	13	44	16	4	48	5507	10	268	130	4	6107	0	6000000
802	2008-12-13	А	1	25	52	22	7	35	47	6849	10	362	99	11	2281	0	5850000
801	2008-12-10	Б	2	3	48	9	20	37	44	6892	10	361	94	6	3983	0	5700000
800	2008-12-06	Б	1	6	5	17	2	14	1	7927	10	586	64	19	1395	0	5500000
799	2008-12-03	Б	3	38	7	10	48	21	39	7352	10	373	99	8	3262	0	5350000
798	2008-11-29	А	2	52	15	6	22	50	1	7375	10	383	94	4	6365	0	5150000
797	2008-11-26	А	2	9	48	11	49	46	14	4868	10	188	189	4	6237	0	5000000

