Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	бонусна кулька	переможців 6х6 по ставці 3 грн	переможців 6х6 по ставці 2 грн	переможців 6х6 по ставці 1 грн	переможців 5х6+1 по ставці 3 грн	переможців 5х6+1 по ставці 2 грн	переможців 5х6+1 по ставці 1 грн	переможців 5х6 по ставці 3 грн	переможців 5х6 по ставці 2 грн	переможців 5х6 по ставці 1 грн	переможців 4х6 по ставці 3 грн	переможців 4х6 по ставці 2 грн	переможців 4х6 по ставці 1 грн	переможців 3х6 по ставці 3 грн	переможців 3х6 по ставці 2 грн	переможців 3х6 по ставці 1 грн	Виграш 6х6 по ставці 3 грн	Виграш 6х6 по ставці 2 грн	Виграш 6х6 по ставці 1 грн	Виграш 5х6+1 по ставці 3 грн	Виграш 5х6+1 по ставці 2 грн	Виграш 5х6+1 по ставці 1 грн	Виграш 5х6 по ставці 3 грн	Виграш 5х6 по ставці 2 грн	Виграш 5х6 по ставці 1 грн	Виграш 4х6 по ставці 3 грн	Виграш 4х6 по ставці 2 грн	Виграш 4х6 по ставці 1 грн	Виграш 3х6 по ставці 3 грн	Виграш 3х6 по ставці 2 грн	Виграш 3х6 по ставці 1 грн
778	2008-09-20	А	3	40	13	3	19	37	54	32	0	0	0	0	0	0	0	0	3	172	29	292	3531	714	5180	25400000	12700000	6350000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
777	2008-09-17	Б	1	45	20	6	43	22	17	34	0	0	0	0	0	1	0	0	8	157	21	213	3180	571	4475	25300000	12650000	6325000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
776	2008-09-13	Б	4	23	8	6	49	25	31	47	0	0	0	0	0	0	3	0	2	209	25	279	3784	692	5203	25150000	12575000	6287500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
775	2008-09-10	Б	4	54	14	44	19	36	45	31	0	0	0	0	0	0	2	0	4	153	22	207	3541	563	4470	25000000	12500000	6250000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
774	2008-09-06	Б	3	1	16	45	24	32	39	4	0	0	0	0	0	0	5	4	0	129	20	173	2530	489	3945	24900000	12450000	6225000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
773	2008-09-03	Б	4	2	34	28	45	15	53	47	0	0	0	0	0	0	5	1	11	185	25	305	3210	698	5313	24800000	12400000	6200000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
772	2008-08-30	Б	2	27	7	26	9	38	1	50	0	0	0	0	0	0	8	0	5	265	51	308	3937	875	5916	24725000	12362500	6181250	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
771	2008-08-27	А	1	13	11	31	33	50	9	24	0	0	0	0	0	0	3	0	9	170	37	199	3296	639	4041	24650000	12325000	6162500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
770	2008-08-23	Б	3	31	20	51	28	47	1	42	0	0	0	0	0	0	2	0	4	120	29	193	2576	558	3902	24575000	12287500	6143750	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
769	2008-08-20	Б	3	50	42	45	17	13	30	43	0	0	0	0	0	0	0	0	0	99	20	142	2426	470	3534	24500000	12250000	6125000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
768	2008-08-16	А	1	37	28	3	36	31	32	9	0	0	0	0	0	0	1	0	2	107	30	159	2497	532	3816	24425000	12212500	6106250	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
767	2008-08-13	А	3	26	29	10	14	25	50	53	0	0	0	0	0	0	1	1	6	163	26	232	3008	713	4271	24375000	12187500	6093750	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
766	2008-08-09	А	1	12	17	7	26	6	40	10	0	0	0	0	0	0	4	0	3	206	40	263	3873	805	5712	24300000	12150000	6075000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
765	2008-08-06	А	1	4	43	23	32	46	52	45	0	0	0	0	0	0	2	0	3	132	30	247	2771	589	4624	24225000	12112500	6056250	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
764	2008-08-02	А	1	13	12	37	29	11	1	40	0	0	0	0	0	0	2	2	2	130	21	153	2942	635	4648	24150000	12075000	6037500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
763	2008-07-30	А	4	14	4	18	3	30	49	22	0	0	0	0	0	0	2	1	3	146	34	241	2948	769	4855	24075000	12037500	6018750	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
762	2008-07-26	Б	1	34	17	47	31	39	13	42	0	0	0	0	0	0	4	2	4	156	35	256	3007	671	5325	24000000	12000000	6000000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
761	2008-07-23	Б	4	19	54	30	36	51	20	43	0	0	0	0	0	0	3	0	0	104	18	133	2181	373	3211	23925000	11962500	5981250	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
760	2008-07-19	Б	4	51	44	43	19	17	2	35	0	0	0	0	0	0	1	0	7	145	29	247	2981	624	4542	23850000	11925000	5962500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
759	2008-07-16	А	2	21	41	44	23	8	1	24	0	0	0	0	0	0	1	0	7	152	36	202	3164	670	4666	23750000	11875000	5937500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
758	2008-07-12	Б	2	27	29	30	9	44	5	47	0	0	0	0	0	0	6	0	3	195	39	292	3483	882	5237	23650000	11825000	5912500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
757	2008-07-09	А	1	19	16	48	8	21	54	3	0	0	0	0	0	0	2	1	3	183	31	260	3563	693	5198	23500000	11750000	5875000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
756	2008-07-05	А	1	41	29	34	44	27	21	46	0	0	0	0	0	0	2	0	2	109	21	212	2904	738	4947	23400000	11700000	5850000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
755	2008-07-02	А	2	6	37	47	27	39	2	24	0	0	0	0	0	0	4	1	1	96	23	177	2978	611	4296	23300000	11650000	5825000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
754	2008-06-28	А	2	20	17	50	24	14	4	31	0	0	0	0	0	0	1	1	1	130	24	166	2556	541	3991	23150000	11575000	5787500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
753	2008-06-25	Б	2	35	1	36	32	50	41	5	0	0	0	0	0	1	0	0	1	105	19	100	2147	522	3078	23000000	11500000	5750000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
752	2008-06-21	А	2	38	32	9	7	17	27	41	0	0	0	0	0	0	4	1	19	244	52	404	4696	880	6430	22850000	11425000	5712500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
751	2008-06-18	А	3	47	52	42	40	1	3	26	0	0	0	0	0	0	0	0	2	105	15	166	2311	392	3459	22700000	11350000	5675000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
750	2008-06-14	А	3	5	23	51	8	10	40	37	0	0	0	0	0	0	11	0	2	284	48	292	3805	736	5379	22550000	11275000	5637500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
749	2008-06-11	Б	3	47	14	39	22	35	46	2	0	0	0	0	0	0	0	0	4	132	21	217	2791	603	4367	22400000	11200000	5600000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
748	2008-06-07	А	2	3	13	41	39	35	28	2	0	0	0	0	0	0	3	0	5	171	28	225	3679	747	4702	22200000	11100000	5550000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
747	2008-06-04	Б	4	32	31	4	29	38	41	39	0	0	0	0	0	0	2	0	3	111	27	250	3151	742	5260	22000000	11000000	5500000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
746	2008-05-31	А	1	20	14	29	42	13	16	11	0	0	0	0	0	1	1	0	1	160	21	186	2978	661	4435	21900000	10950000	5475000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
745	2008-05-28	А	3	34	49	15	38	28	29	10	0	0	0	0	0	0	2	0	7	127	27	279	2934	620	4440	21800000	10900000	5450000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
744	2008-05-24	Б	2	38	23	40	27	15	48	12	0	0	0	1	0	0	1	1	3	122	26	218	2822	626	4224	21650000	10825000	5412500	294531	196354	98177	2943	1962	981	72	48	24	12	8	4
743	2008-05-21	А	4	38	20	28	31	26	54	3	0	0	0	0	0	0	3	0	6	108	18	167	2727	629	3964	21500000	10750000	5375000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
742	2008-05-17	Б	2	44	8	22	17	33	6	12	0	0	0	0	0	0	4	3	7	261	53	399	4316	992	7317	21400000	10700000	5350000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
741	2008-05-14	А	2	28	37	48	24	38	25	31	0	0	0	0	0	0	3	0	4	113	34	223	2628	583	4423	21300000	10650000	5325000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
740	2008-05-10	А	2	14	31	36	52	12	49	7	0	0	0	0	0	0	3	1	1	93	16	158	2263	508	3813	21200000	10600000	5300000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
739	2008-05-07	А	1	42	30	51	52	23	11	47	0	0	0	0	0	0	1	0	2	63	34	134	2209	474	3740	21100000	10550000	5275000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
738	2008-05-03	А	4	16	14	25	13	9	51	27	0	0	0	0	0	0	3	1	1	117	34	171	2908	548	4154	21000000	10500000	5250000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
737	2008-04-30	Б	4	22	46	33	16	27	53	40	0	0	0	0	0	0	0	2	2	168	37	227	3271	672	4295	20900000	10450000	5225000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
736	2008-04-26	Б	1	29	20	2	39	1	38	3	0	0	0	0	0	0	0	2	0	170	42	243	3538	840	5169	20800000	10400000	5200000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
735	2008-04-23	А	1	47	37	25	51	5	10	24	0	0	0	0	0	0	1	0	4	151	36	247	3427	754	5007	20650000	10325000	5162500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
734	2008-04-19	А	3	16	48	23	31	37	52	45	0	0	0	0	0	0	3	1	4	130	28	211	2948	707	4683	20500000	10250000	5125000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
733	2008-04-16	Б	1	22	28	45	53	12	29	3	0	0	0	0	0	0	3	1	4	126	24	177	2825	591	4276	20400000	10200000	5100000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
732	2008-04-12	Б	3	40	2	23	38	41	49	14	0	0	0	0	0	1	1	0	3	129	32	186	2884	626	4625	20300000	10150000	5075000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
731	2008-04-09	Б	1	28	15	35	2	25	4	31	0	0	0	0	0	0	4	0	3	257	42	311	4036	850	5552	20200000	10100000	5050000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
730	2008-04-05	А	1	4	32	9	53	54	8	46	0	0	0	0	0	0	5	0	9	194	74	271	3916	1050	5723	20100000	10050000	5025000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
729	2008-04-02	Б	1	54	17	42	36	20	30	24	0	0	0	0	0	0	2	1	4	134	20	195	3160	599	4435	20000000	10000000	5000000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
728	2008-03-29	Б	2	42	50	7	44	17	15	25	0	0	0	0	0	0	4	0	2	111	38	262	3360	722	5670	19850000	9925000	4962500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
727	2008-03-26	А	4	47	5	3	51	52	43	14	0	0	0	0	0	0	1	0	2	85	25	193	2667	584	4298	19700000	9850000	4925000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
726	2008-03-22	Б	2	28	25	17	21	14	27	23	0	0	0	0	0	0	6	0	1	228	45	359	4257	878	6864	19600000	9800000	4900000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
725	2008-03-19	Б	2	36	49	46	12	37	24	35	0	0	0	0	0	1	0	0	3	107	27	174	2459	507	4064	19450000	9725000	4862500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
724	2008-03-15	Б	4	40	22	17	52	1	42	8	0	0	0	0	0	0	2	0	0	102	25	196	2685	666	4150	19300000	9650000	4825000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
723	2008-03-12	Б	4	16	48	43	32	25	3	9	0	0	0	0	0	0	3	1	4	158	49	237	3083	742	4830	19150000	9575000	4787500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
722	2008-03-08	А	1	16	52	36	33	42	25	39	0	0	0	0	0	0	1	0	1	128	48	224	2774	580	4583	19000000	9500000	4750000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
721	2008-03-05	Б	3	1	26	11	43	38	41	23	0	0	0	0	0	0	0	0	8	107	34	203	2677	638	4399	18850000	9425000	4712500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
720	2008-03-01	Б	1	31	23	45	22	3	12	14	0	0	0	0	0	0	2	1	7	208	52	275	3574	816	5454	18700000	9350000	4675000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
719	2008-02-27	А	4	18	49	26	50	6	8	51	0	0	0	0	0	0	2	2	4	141	48	218	3044	696	4683	18600000	9300000	4650000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
718	2008-02-23	А	3	33	41	20	3	38	26	30	0	0	0	0	0	0	1	0	1	126	20	238	3092	719	5078	18450000	9225000	4612500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
717	2008-02-20	А	3	45	47	3	29	49	24	11	0	0	0	0	0	0	2	1	2	105	27	152	2479	524	3892	18300000	9150000	4575000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
716	2008-02-16	Б	3	49	30	36	38	2	17	6	0	0	0	0	0	0	1	0	3	141	24	136	2424	528	4125	18150000	9075000	4537500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
715	2008-02-13	Б	2	8	10	41	1	42	46	34	0	0	0	0	0	0	0	0	3	94	33	194	2531	553	3931	18000000	9000000	4500000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
714	2008-02-09	А	2	17	35	21	41	15	10	13	0	0	0	0	0	0	1	0	4	129	33	201	2775	726	4840	17850000	8925000	4462500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
713	2008-02-06	А	2	16	1	46	25	41	3	30	0	0	0	0	0	0	2	1	3	140	37	214	2926	640	4676	17700000	8850000	4425000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
712	2008-02-02	А	4	35	4	23	36	24	8	5	0	0	0	0	0	0	2	0	4	134	38	208	2895	717	4507	17600000	8800000	4400000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
711	2008-01-30	А	3	36	37	2	13	5	23	11	0	0	0	0	0	0	1	1	1	156	38	322	3039	722	6828	17500000	8750000	4375000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
710	2008-01-26	А	1	28	10	6	17	46	11	37	0	0	0	0	0	0	3	0	0	143	46	211	2946	768	4622	17350000	8675000	4337500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
709	2008-01-23	А	1	3	22	26	6	21	33	12	0	0	0	0	0	0	1	1	4	189	43	312	3623	840	5710	17200000	8600000	4300000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
708	2008-01-19	А	2	24	51	26	39	1	19	7	0	0	0	0	0	0	3	1	3	126	21	165	2507	611	4237	17100000	8550000	4275000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
707	2008-01-16	А	4	30	15	22	9	19	46	53	0	0	0	0	0	0	1	1	3	128	28	203	2810	679	4475	17000000	8500000	4250000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
706	2008-01-12	Б	1	30	35	19	32	41	5	26	0	0	0	0	0	0	1	0	2	106	27	220	2654	686	5153	16900000	8450000	4225000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
705	2008-01-09	Б	4	12	23	21	54	33	6	16	0	0	0	0	0	0	3	2	3	126	30	293	2584	561	4592	16800000	8400000	4200000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
704	2008-01-05	Б	1	22	23	42	25	47	36	10	0	0	0	0	0	0	3	0	1	71	27	131	2025	432	3245	16700000	8350000	4175000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
703	2008-01-02	А	1	24	40	34	25	49	12	9	0	0	0	0	0	0	0	0	0	62	10	165	1664	366	3216	16600000	8300000	4150000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
702	2007-12-29	А	1	34	5	51	17	7	15	38	0	0	0	0	0	0	5	2	6	300	60	420	4724	1077	6956	16500000	8250000	4125000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
701	2007-12-26	Б	4	10	1	26	6	28	24	37	0	0	0	0	0	0	4	1	7	157	22	269	2854	771	5219	16400000	8200000	4100000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
700	2007-12-22	А	1	29	45	33	39	32	20	47	0	0	0	0	0	0	1	0	2	108	26	178	2497	627	4267	16300000	8150000	4075000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
699	2007-12-19	А	1	47	48	1	52	8	45	40	0	0	0	0	0	0	0	0	2	69	33	141	1975	523	3538	16200000	8100000	4050000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
698	2007-12-15	А	4	42	4	40	35	52	39	48	0	0	0	0	0	0	2	0	1	77	19	218	2448	594	4254	16100000	8050000	4025000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
697	2007-12-12	Б	3	1	33	27	20	19	12	54	0	0	0	0	0	0	1	0	18	157	41	468	3294	856	6155	16000000	8000000	4000000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
696	2007-12-08	А	2	44	18	25	50	43	36	22	0	0	0	0	0	0	1	0	2	100	15	137	2047	457	3474	15900000	7950000	3975000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
695	2007-12-05	А	4	36	43	54	33	37	22	39	0	0	0	0	0	0	0	0	2	107	24	163	2198	538	3554	15800000	7900000	3950000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
694	2007-12-01	А	2	15	7	5	9	18	33	28	0	0	0	0	0	0	1	3	10	220	38	371	3735	980	5879	15700000	7850000	3925000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
693	2007-11-28	Б	1	46	18	54	31	50	2	14	0	0	0	0	0	0	4	0	0	82	25	128	1765	426	3331	15600000	7800000	3900000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
692	2007-11-24	А	3	44	2	10	53	31	19	22	0	0	0	0	0	1	4	0	7	169	38	313	2911	767	5415	15500000	7750000	3875000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
691	2007-11-21	А	1	40	50	30	29	17	22	26	0	0	0	0	0	0	2	1	1	92	26	184	2270	569	4422	15400000	7700000	3850000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
690	2007-11-17	А	3	28	8	38	21	52	47	4	0	0	0	0	0	0	2	0	10	131	29	293	2713	716	4473	15325000	7662500	3831250	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
689	2007-11-14	А	3	26	33	14	21	50	38	12	0	0	0	0	0	0	5	3	8	178	40	296	2818	654	4481	15250000	7625000	3812500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
688	2007-11-10	А	4	5	28	27	18	6	8	47	0	0	0	0	0	0	6	2	2	202	44	351	3292	759	5940	15150000	7575000	3787500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
687	2007-11-07	А	1	21	5	32	7	26	20	37	0	0	0	0	0	0	0	1	2	185	37	248	3323	726	5168	15075000	7537500	3768750	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
686	2007-11-03	Б	4	40	5	47	46	15	3	13	0	0	0	0	0	0	1	3	2	102	33	167	2451	561	3762	15000000	7500000	3750000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
685	2007-10-31	Б	1	52	1	51	46	42	44	41	0	0	0	0	0	0	0	0	8	53	15	231	1577	388	3417	14900000	7450000	3725000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
684	2007-10-27	Б	3	42	17	8	30	7	53	25	0	0	0	0	0	0	0	0	1	84	24	132	2374	568	3674	14825000	7412500	3706250	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
683	2007-10-24	А	3	14	16	33	40	45	9	21	0	0	0	0	0	0	0	2	5	146	37	245	2635	711	4623	14750000	7375000	3687500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
682	2007-10-20	А	1	14	5	29	21	24	50	7	0	0	0	0	1	0	4	1	0	123	28	217	2421	606	4557	14650000	7325000	3662500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
681	2007-10-17	Б	3	41	46	17	53	26	16	36	0	0	0	0	0	0	3	0	1	119	22	147	2149	585	3893	14575000	7287500	3643750	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
680	2007-10-13	Б	4	19	51	23	54	37	49	46	0	0	0	0	0	0	0	0	1	89	27	183	2062	574	3931	14500000	7250000	3625000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
679	2007-10-10	Б	1	42	32	33	21	41	38	15	0	0	0	0	0	0	0	0	2	94	27	149	2333	548	4121	14400000	7200000	3600000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
678	2007-10-06	А	4	24	25	48	40	10	36	5	0	0	0	0	0	0	2	0	1	71	18	158	1926	516	3471	14325000	7162500	3581250	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
677	2007-10-03	А	2	18	43	9	29	7	15	37	0	0	0	0	0	0	0	1	6	150	43	299	2829	730	5291	14250000	7125000	3562500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
676	2007-09-29	А	3	14	38	8	35	20	19	2	0	0	0	0	0	0	1	2	2	110	31	213	2423	618	4423	14150000	7075000	3537500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
675	2007-09-26	А	3	3	40	9	20	13	37	4	0	0	0	0	0	0	6	1	5	185	59	284	3200	870	5445	14075000	7037500	3518750	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
674	2007-09-22	А	3	38	50	11	36	54	42	32	0	0	0	0	0	0	1	0	5	64	16	107	1663	409	3126	14000000	7000000	3500000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
673	2007-09-19	Б	3	19	22	51	53	46	13	37	0	0	0	0	0	0	4	0	0	119	19	172	2311	526	4067	13900000	6950000	3475000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
672	2007-09-15	А	3	49	25	33	39	35	16	17	0	0	0	0	0	0	3	1	3	109	32	212	2269	527	4191	13800000	6900000	3450000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
